Date,financials_Revenue,financials_Cost Of Goods Sold,financials_Gross Profit,financials_Research And Development Expenses,financials_SG&A Expenses,financials_Other Operating Income Or Expenses,financials_Operating Expenses,financials_Operating Income,financials_Total Non-Operating Income/Expense,financials_Pre-Tax Income,financials_Income Taxes,financials_Income After Taxes,financials_Other Income,financials_Income From Continuous Operations,financials_Income From Discontinued Operations,financials_Net Income,financials_EBITDA,financials_EBIT,financials_Basic Shares Outstanding,financials_Shares Outstanding,financials_Basic EPS,financials_EPS - Earnings Per Share,balance_sheet_Cash On Hand,balance_sheet_Receivables,balance_sheet_Inventory,balance_sheet_Pre-Paid Expenses,balance_sheet_Other Current Assets,balance_sheet_Total Current Assets,balance_sheet_Property Plant And Equipment,balance_sheet_Long-Term Investments,balance_sheet_Goodwill And Intangible Assets,balance_sheet_Other Long-Term Assets,balance_sheet_Total Long-Term Assets,balance_sheet_Total Assets,balance_sheet_Total Current Liabilities,balance_sheet_Long Term Debt,balance_sheet_Other Non-Current Liabilities,balance_sheet_Total Long Term Liabilities,balance_sheet_Total Liabilities,balance_sheet_Common Stock Net,balance_sheet_Retained Earnings (Accumulated Deficit),balance_sheet_Comprehensive Income,balance_sheet_Other Share Holders Equity,balance_sheet_Share Holder Equity,balance_sheet_Total Liabilities And Share Holders Equity,cash_flow_statement_Net Income/Loss,cash_flow_statement_Total Depreciation And Amortization - Cash Flow,cash_flow_statement_Other Non-Cash Items,cash_flow_statement_Total Non-Cash Items,cash_flow_statement_Change In Accounts Receivable,cash_flow_statement_Change In Inventories,cash_flow_statement_Change In Accounts Payable,cash_flow_statement_Change In Assets/Liabilities,cash_flow_statement_Total Change In Assets/Liabilities,cash_flow_statement_Cash Flow From Operating Activities,cash_flow_statement_Net Change In Property Plant And Equipment,cash_flow_statement_Net Change In Intangible Assets,cash_flow_statement_Net Acquisitions/Divestitures,cash_flow_statement_Net Change In Short-term Investments,cash_flow_statement_Net Change In Long-Term Investments,cash_flow_statement_Net Change In Investments - Total,cash_flow_statement_Investing Activities - Other,cash_flow_statement_Cash Flow From Investing Activities,cash_flow_statement_Net Long-Term Debt,cash_flow_statement_Net Current Debt,cash_flow_statement_Debt Issuance/Retirement Net - Total,cash_flow_statement_Net Common Equity Issued/Repurchased,cash_flow_statement_Net Total Equity Issued/Repurchased,cash_flow_statement_Total Common And Preferred Stock Dividends Paid,cash_flow_statement_Financial Activities - Other,cash_flow_statement_Cash Flow From Financial Activities,cash_flow_statement_Net Cash Flow,cash_flow_statement_Stock-Based Compensation,cash_flow_statement_Common Stock Dividends Paid,key_financial_ratios_Current Ratio,key_financial_ratios_Long-term Debt / Capital,key_financial_ratios_Debt/Equity Ratio,key_financial_ratios_Gross Margin,key_financial_ratios_Operating Margin,key_financial_ratios_EBIT Margin,key_financial_ratios_EBITDA Margin,key_financial_ratios_Pre-Tax Profit Margin,key_financial_ratios_Net Profit Margin,key_financial_ratios_Asset Turnover,key_financial_ratios_Inventory Turnover Ratio,key_financial_ratios_Receiveable Turnover,key_financial_ratios_Days Sales In Receivables,key_financial_ratios_ROE - Return On Equity,key_financial_ratios_Return On Tangible Equity,key_financial_ratios_ROA - Return On Assets,key_financial_ratios_ROI - Return On Investment,key_financial_ratios_Book Value Per Share,key_financial_ratios_Operating Cash Flow Per Share,key_financial_ratios_Free Cash Flow Per Share,Employees
2009-01-31,481.14,339.474,141.666,211.779,86.44,0.0,316.749,-175.083,4.708,-170.375,-22.71,-147.665,0.0,-147.665,0.0,-147.665,-127.028,-175.083,21925.0,21925.0,-0.01,-0.01,1255.39,318.435,537.834,39.794,0.0,2167.958,625.798,0.0,516.945,40.026,1182.769,3350.727,778.591,25.634,151.85,177.484,956.075,0.629,1964.169,3.865,0.0,2394.652,3350.727,-30.041,185.023,127.711,312.734,348.873,-177.295,-283.207,19.42,-33.333,249.36,-407.67,0.0,-27.948,226.693,0.0,226.693,-0.442,-209.367,0.0,0.0,0.0,-350.089,-350.089,0.0,0.815,-349.274,-309.281,162.706,0.0,2.7845,0.0106,0.0107,29.4438,-36.3893,-36.3893,0.0,-35.4107,-30.6907,0.1436,0.6312,1.511,59.5651,-6.1664,-7.8641,-4.407,-6.1011,0.1112,0.0114,-0.0072,3772
2009-04-30,664.231,474.535,189.696,301.797,118.864,0.0,420.661,-230.965,6.144,-224.821,-23.483,-201.338,0.0,-201.338,0.0,-201.338,-180.307,-230.965,21692.0,21692.0,-0.01,-0.01,1338.147,304.393,327.259,50.885,0.0,2020.684,601.053,0.0,512.29,44.677,1158.02,3178.704,702.172,25.351,132.305,157.656,859.828,0.636,1762.831,4.931,0.0,2318.876,3178.704,-201.338,50.658,148.261,198.919,14.171,211.233,7.25,0.445,144.547,142.128,-20.777,0.0,0.0,11.872,0.0,11.872,0.0,-8.905,-0.222,0.0,-0.222,-38.415,-38.415,0.0,0.0,-38.637,94.586,169.848,0.0,2.8778,0.0108,0.0109,28.5587,-34.7718,-34.7718,0.0,-33.8468,-30.3114,0.209,1.45,2.1821,41.2437,-8.6826,-11.1447,-6.334,-8.5887,0.1061,0.0066,0.0056,3772
2009-07-31,776.52,619.797,156.723,192.855,73.975,0.0,266.83,-110.107,3.006,-107.101,-1.799,-105.302,0.0,-105.302,0.0,-105.302,-60.785,-110.107,21866.0,21866.0,-0.0,-0.0,1466.105,351.96,279.216,50.548,0.0,2167.905,582.914,0.0,505.522,42.068,1130.504,3298.409,891.321,25.06,134.619,159.679,1051.0,0.638,1657.529,8.67,0.0,2247.409,3298.409,-105.302,49.322,20.769,70.091,-47.929,45.331,49.236,-17.594,170.328,135.117,-17.656,0.0,0.0,-114.283,0.0,-114.283,0.782,-131.157,0.119,0.0,0.119,7.432,7.432,0.0,0.0,7.551,11.511,25.376,0.0,2.4322,0.011,0.0112,20.1827,-14.1795,-14.1795,0.0,-13.7924,-13.5608,0.2354,2.2198,2.2063,40.7928,-4.6855,-6.0453,-3.1925,-4.6338,0.1026,0.0061,0.0053,3772
2009-10-31,903.206,511.423,391.783,197.948,85.99,0.0,283.938,107.845,2.362,110.207,2.63,107.577,0.0,107.577,0.0,107.577,156.615,107.845,22051.0,22975.0,0.01,0.0,1634.079,397.82,277.643,31.669,0.0,2357.716,565.296,0.0,497.661,42.901,1105.858,3463.574,888.806,24.76,126.373,151.133,1039.939,0.646,1765.106,9.645,0.0,2423.635,3463.574,107.577,48.77,27.257,76.027,-45.991,1.165,40.102,22.617,-42.287,141.317,-16.593,0.0,0.0,-77.904,0.0,-77.904,-1.0,-95.497,-0.215,0.0,-0.215,45.1,45.1,0.0,0.0,44.885,90.705,22.982,0.0,2.6527,0.0101,0.0102,43.3769,11.9403,11.9403,0.0,12.2018,11.9106,0.2608,1.842,2.2704,39.6408,4.4387,5.5856,3.106,4.3938,0.1092,0.0055,0.0049,3772
2010-01-31,982.488,543.767,438.721,216.251,88.188,0.0,304.439,134.282,5.139,139.421,8.345,131.076,0.0,131.076,0.0,131.076,182.196,134.282,21983.0,21983.0,0.01,0.01,1728.227,374.963,330.674,38.214,0.0,2480.83,571.858,0.0,490.302,42.928,1105.088,3585.918,784.378,24.45,111.95,136.4,920.778,0.653,1896.182,12.172,0.0,2665.14,3585.918,131.076,47.914,26.428,74.342,23.008,-53.073,22.778,-0.031,-136.173,69.245,-22.575,0.0,0.0,-261.199,0.0,-261.199,0.0,-283.774,-0.611,0.0,-0.611,45.837,45.837,0.0,2.034,47.26,-167.269,24.62,0.0,3.1628,0.0091,0.0092,44.6541,13.6675,13.6675,0.0,14.1906,13.3412,0.274,1.6444,2.6202,34.3482,4.9182,6.0269,3.6553,4.8735,0.1187,0.004,0.0029,5706
2010-04-30,1001.813,545.436,456.377,218.105,90.879,0.0,308.984,147.393,3.332,150.725,13.131,137.594,0.0,137.594,0.0,137.594,194.54,147.393,22687.0,23640.0,0.01,0.01,1764.896,529.663,388.139,35.53,0.0,2726.98,548.916,0.0,485.267,41.867,1076.05,3803.03,765.293,24.098,152.994,177.092,942.385,0.663,2033.776,10.872,0.0,2860.645,3803.03,137.594,47.147,41.549,88.696,-155.011,-56.816,16.822,3.746,-231.687,-5.397,-17.08,0.0,0.0,-40.262,0.0,-40.262,0.0,-57.342,-0.282,0.0,-0.282,63.062,63.062,0.0,0.0,62.78,0.041,25.177,0.0,3.5633,0.0084,0.0084,45.5551,14.7126,14.7126,0.0,15.0452,13.7345,0.2634,1.4053,1.8914,47.5834,4.8099,5.7925,3.618,4.7697,0.125,-0.0002,-0.001,5706
2010-07-31,811.208,676.916,134.292,210.635,98.864,0.0,309.499,-175.207,6.16,-169.047,-28.086,-140.961,0.0,-140.961,0.0,-140.961,-128.634,-175.207,22911.0,22911.0,-0.01,-0.01,1772.5,395.934,434.227,44.549,0.0,2655.962,542.216,0.0,488.723,44.367,1075.306,3731.268,819.139,23.734,127.881,151.615,970.754,0.665,1892.815,11.234,0.0,2760.514,3731.268,-140.961,46.573,-1.095,45.478,133.818,-45.962,-84.308,-9.995,129.827,34.344,-37.644,0.0,0.0,-79.932,0.0,-79.932,-1.525,-119.101,-0.292,0.0,-0.292,14.79,14.79,0.0,0.0,14.498,-70.259,24.631,0.0,3.2424,0.0085,0.0086,16.5546,-21.5983,-21.5983,0.0,-20.8389,-17.3767,0.2174,1.5589,2.0488,43.9272,-5.1063,-6.2048,-3.7778,-5.0628,0.1202,0.0015,-0.0001,5706
2010-10-31,843.912,451.85,392.062,204.527,83.752,0.0,288.279,103.783,-0.198,103.585,18.723,84.862,0.0,84.862,0.0,84.862,150.659,103.783,23093.0,23306.0,0.0,0.0,1987.22,399.502,377.812,34.416,0.0,2807.702,585.672,0.0,482.486,39.719,1107.877,3915.579,816.489,23.359,177.851,201.21,1017.699,0.671,1977.677,12.667,0.0,2897.88,3915.579,84.862,46.876,39.741,86.617,-3.374,56.032,45.618,14.911,40.698,212.177,-21.823,0.0,0.0,-142.03,0.0,-142.03,-0.131,-163.984,-0.301,0.0,-0.301,26.279,26.279,0.0,0.0,25.978,74.171,25.177,0.0,3.4388,0.008,0.0081,46.4577,12.2978,12.2978,0.0,12.2744,10.0558,0.2155,1.196,2.1124,42.6054,2.9284,3.5134,2.1673,2.905,0.1247,0.009,0.0082,5706
2011-01-31,886.376,460.017,426.359,215.563,88.018,0.0,246.581,179.778,6.128,185.906,14.255,171.651,0.0,171.651,0.0,171.651,226.171,179.778,23007.0,23547.0,0.01,0.01,2490.563,348.77,345.525,32.636,0.0,3226.95,568.857,0.0,658.589,40.85,1268.296,4495.246,942.682,23.389,347.713,371.102,1313.784,0.677,2149.328,10.272,0.0,3181.462,4495.246,171.651,46.393,3.768,50.161,50.908,32.618,-47.918,4.197,212.861,434.673,-21.343,0.0,0.0,-287.401,0.0,-287.401,-0.507,-309.251,0.304,0.0,0.304,73.145,73.145,0.0,15.316,88.765,214.187,25.368,0.0,3.4232,0.0073,0.0074,48.1014,20.2823,20.2824,0.0,20.9737,19.3655,0.1972,1.3314,2.5414,35.4131,5.3954,6.8038,3.8185,5.356,0.1351,0.0184,0.0174,6029
2011-04-30,962.039,477.536,484.503,231.524,98.117,0.0,329.641,154.862,1.623,156.485,21.266,135.219,0.0,135.219,0.0,135.219,202.626,154.862,23792.0,24539.0,0.01,0.01,2726.541,343.202,380.964,36.6,0.0,3496.763,553.366,0.0,648.605,38.01,1239.981,4736.744,981.166,22.957,284.813,307.77,1288.936,0.688,2284.547,11.121,0.0,3447.808,4736.744,135.219,47.764,28.705,76.469,5.82,-35.183,53.74,-0.738,-39.488,172.2,-31.195,0.0,0.0,-220.928,0.0,-220.928,-0.383,-252.506,-0.352,0.0,-0.352,85.286,85.286,0.0,13.644,98.578,18.272,31.739,0.0,3.5639,0.0066,0.0067,50.3621,16.0973,16.0973,0.0,16.266,14.0555,0.2031,1.2535,2.8031,32.107,3.9219,4.8306,2.8547,3.8959,0.1436,0.007,0.0057,6029
2011-07-31,1016.517,491.233,525.284,247.721,103.533,0.0,351.254,174.03,3.517,177.547,25.974,151.573,0.0,151.573,0.0,151.573,226.189,174.03,24054.0,24557.0,0.01,0.01,2474.496,419.944,361.911,34.925,0.0,3317.557,550.896,0.0,951.649,44.322,1546.867,4864.424,960.299,22.493,192.163,214.656,1174.955,0.691,2436.12,14.434,0.0,3689.469,4864.424,151.573,52.159,44.74,96.899,-63.331,33.014,-62.106,2.001,-166.451,82.021,-23.323,0.0,-348.884,100.496,0.0,100.496,-1.507,-273.218,-10.698,0.0,-10.698,39.499,39.499,0.0,11.377,40.178,-151.019,35.95,0.0,3.4547,0.0061,0.0061,51.6749,17.1202,17.1202,0.0,17.4662,14.911,0.209,1.3573,2.4206,37.1808,4.1083,5.5363,3.116,4.0834,0.1528,0.0034,0.0024,6029
2011-10-31,1066.18,509.463,556.717,256.498,103.129,0.0,359.627,197.09,7.697,204.787,26.514,178.273,0.0,178.273,0.0,178.273,249.477,197.09,24283.0,24542.0,0.01,0.01,2748.354,371.261,319.602,34.573,0.0,3500.071,551.757,0.0,990.892,46.323,1588.972,5089.043,886.684,21.949,206.96,228.909,1115.593,0.698,2614.393,8.997,0.0,3973.45,5089.043,178.273,52.387,2.701,55.088,48.677,41.917,17.584,-4.22,11.056,244.417,-39.035,0.0,0.0,-250.11,0.0,-250.11,0.0,-289.145,-0.457,0.0,-0.457,51.705,51.705,0.0,27.682,78.93,34.202,33.229,0.0,3.9474,0.0055,0.0055,52.216,18.4856,18.4856,0.0,19.2075,16.7207,0.2095,1.5941,2.8718,31.3394,4.4866,5.9772,3.5031,4.462,0.1627,0.0099,0.0084,6029
2012-01-31,953.194,463.181,490.013,266.862,100.834,0.0,367.696,122.317,2.26,124.577,8.552,116.025,0.0,116.025,0.0,116.025,174.212,122.317,24146.0,24655.0,0.0,0.0,3129.576,336.143,340.297,49.411,0.0,3905.358,560.072,0.0,967.166,120.332,1647.57,5552.928,929.958,21.439,455.807,477.246,1407.204,0.7,2730.418,10.614,0.0,4145.724,5552.928,116.025,51.895,45.566,97.461,35.07,-20.864,26.49,-82.54,197.032,410.518,-45.182,0.0,0.0,-283.613,0.0,-283.613,0.3,-328.495,9.899,0.0,9.899,19.367,19.367,0.0,-10.229,19.037,101.06,35.436,0.0,4.1995,0.0051,0.0052,51.4075,12.8323,12.8323,0.0,13.0694,12.1722,0.1717,1.3611,2.8357,31.7384,2.7987,3.6502,2.0894,2.7843,0.1693,0.0166,0.0147,5042
2012-04-30,924.877,461.513,463.364,283.902,106.636,0.0,390.538,72.826,4.269,77.095,16.658,60.437,0.0,60.437,0.0,60.437,127.317,72.826,24631.0,24951.0,0.0,0.0,3130.812,411.155,342.707,97.511,0.0,4032.116,553.541,0.0,1004.425,118.085,1676.051,5708.167,947.404,20.83,452.505,473.335,1420.739,0.707,2790.855,10.447,0.0,4287.428,5708.167,60.437,54.491,35.975,90.466,-75.369,-2.191,33.516,-49.982,-160.111,-9.208,-28.923,0.0,0.0,-306.347,0.0,-306.347,0.216,-335.054,-0.515,0.0,-0.515,37.361,37.361,0.0,8.675,45.521,-298.741,35.569,0.0,4.256,0.0048,0.0049,50.1001,7.8741,7.8741,0.0,8.3357,6.5346,0.162,1.3467,2.2495,40.0096,1.4096,1.8409,1.0588,1.4028,0.1732,-0.0004,-0.0015,5042
2012-07-31,1044.27,503.551,540.719,281.193,119.903,0.0,401.096,139.623,5.585,145.208,26.162,119.046,0.0,119.046,0.0,119.046,195.818,139.623,24760.0,24926.0,0.0,0.0,3278.1,445.312,387.185,53.323,0.0,4213.851,574.056,0.0,987.968,116.006,1678.03,5891.881,1021.96,20.237,396.019,416.256,1438.216,0.713,2909.901,11.159,0.0,4453.665,5891.881,119.046,56.195,59.982,116.177,-33.849,-44.643,32.13,46.564,-34.337,200.886,-61.944,0.0,0.0,-22.461,0.0,-22.461,-0.298,-84.703,-0.496,0.0,-0.496,5.317,5.317,0.0,9.479,14.3,130.483,32.255,0.0,4.1233,0.0045,0.0045,51.7796,13.3704,13.3704,0.0,13.9052,11.3999,0.1772,1.3005,2.345,38.379,2.673,3.435,2.0205,2.6609,0.1797,0.0081,0.0055,5042
2012-10-31,1204.11,567.452,636.658,284.18,100.261,0.0,384.441,252.217,1.411,253.628,44.548,209.08,0.0,209.08,0.0,209.08,309.365,252.217,24894.0,25154.0,0.01,0.01,3434.772,444.944,428.983,66.197,0.0,4424.827,566.54,0.0,972.278,111.499,1650.317,6075.144,991.359,19.627,341.312,360.939,1352.298,0.719,3118.981,10.86,0.0,4722.846,6075.144,209.08,57.148,61.952,119.1,0.21,-41.544,-16.547,-8.584,-146.695,181.485,-44.684,0.0,0.0,-138.332,0.0,-138.332,0.217,-182.799,1.011,0.0,1.011,20.103,20.103,0.0,5.97,27.084,25.77,33.069,0.0,4.4634,0.0041,0.0042,52.8737,20.9463,20.9463,0.0,21.0635,17.3639,0.1982,1.3228,2.7062,33.2569,4.427,5.5746,3.4416,4.4087,0.189,0.0071,0.0054,5042
